"String Identifier","English (US)","String Description"
"You can only setup in the Modmail guild: {guild_name}.","You can only setup in the Modmail guild: {guild_name}.","File: cogs\modmail.py/L48"
"{guild_name} is already set up.","{guild_name} is already set up.","File: cogs\modmail.py/L53"
"Error","Error","File: cogs\modmail.py/L57/L218/L226/L234/L736/L1092/L1184 cogs\utility.py/L1037/L1049/L1144/L1290/L1352/L894/L979/L1018/L1025/L1032/L1039/L1053/L1084/L1123/L1148/L1178/L1069/L1308/L1381/L1443/L1638"
"Modmail functioning guild not found.","Modmail functioning guild not found.","File: cogs\modmail.py/L58"
"Friendly Reminder","Friendly Reminder","File: cogs\modmail.py/L97"
"You may use the `{prefix}config set log_channel_id <channel-id>` command to set up a custom log channel, then you can delete this default {log_channel} log channel.","You may use the `{prefix}config set log_channel_id <channel-id>` command to set up a custom log channel, then you can delete this default {log_channel} log channel.","File: cogs\modmail.py/L98"
"Thanks for using the bot!","Thanks for using the bot!","File: cogs\modmail.py/L105"
"If you like what you see, consider giving the [repo a star](https://github.com/kyb3r/modmail) :star: or if you are feeling generous, check us out on [Patreon](https://patreon.com/kyber)!","If you like what you see, consider giving the [repo a star](https://github.com/kyb3r/modmail) :star: or if you are feeling generous, check us out on [Patreon](https://patreon.com/kyber)!","File: cogs\modmail.py/L106"
"Type ""{prefix}help"" for a complete list of commands.","Type ""{prefix}help"" for a complete list of commands.","File: cogs\modmail.py/L112"
"**Successfully set up server.**\nConsider setting permission levels to give access to roles or users the ability to use Modmail.\n\nType:\n- `{prefix}permissions` and `{prefix}permissions add` for more info on setting permissions.\n- `{prefix}config help` for a list of available customizations.","**Successfully set up server.**\nConsider setting permission levels to give access to roles or users the ability to use Modmail.\n\nType:\n- `{prefix}permissions` and `{prefix}permissions add` for more info on setting permissions.\n- `{prefix}config help` for a list of available customizations.","File: cogs\modmail.py/L121"
"You dont have any snippets at the moment.","You dont have any snippets at the moment.","File: cogs\modmail.py/L173"
"Do {prefix}help snippet for more commands.","Do {prefix}help snippet for more commands.","File: cogs\modmail.py/L176"
"Snippets","Snippets","File: cogs\modmail.py/L178/L188"
"Snippet","Snippet","File: cogs\modmail.py/L202"
"Snippet `{name}` already exists.","Snippet `{name}` already exists.","File: cogs\modmail.py/L220"
"An alias with the same name already exists: `{name}`.","An alias with the same name already exists: `{name}`.","File: cogs\modmail.py/L228"
"Snippet names cannot be longer than 120 characters.","Snippet names cannot be longer than 120 characters.","File: cogs\modmail.py/L236"
"Removed snippet","Removed snippet","File: cogs\modmail.py/L257"
"Snippet `{name}` is now deleted.","Snippet `{name}` is now deleted.","File: cogs\modmail.py/L259"
"Edited snippet","Edited snippet","File: cogs\modmail.py/L282"
"Thread Moved","Thread Moved","File: cogs\modmail.py/L313"
"Scheduled close","Scheduled close","File: cogs\modmail.py/L331"
"This thread will close {silent}in {time}.","This thread will close {silent}in {time}.","File: cogs\modmail.py/L332"
"Message","Message","File: cogs\modmail.py/L337"
"Closing will be cancelled if a thread message is sent.","Closing will be cancelled if a thread message is sent.","File: cogs\modmail.py/L340"
"silent","silent","File: cogs\modmail.py/L375"
"silently","silently","File: cogs\modmail.py/L375"
"cancel","cancel","File: cogs\modmail.py/L376"
"Scheduled close has been cancelled.","Scheduled close has been cancelled.","File: cogs\modmail.py/L384"
"This thread has not already been scheduled to close.","This thread has not already been scheduled to close.","File: cogs\modmail.py/L389"
"{mention} is already going to be mentioned.","{mention} is already going to be mentioned.","File: cogs\modmail.py/L441"
"{mention} will be mentioned on the next message received.","{mention} will be mentioned on the next message received.","File: cogs\modmail.py/L448"
"{mention} does not have a pending notification.","{mention} does not have a pending notification.","File: cogs\modmail.py/L480"
"{mention} will no longer be notified.","{mention} will no longer be notified.","File: cogs\modmail.py/L487"
"{mention} is already subscribed to this thread.","{mention} is already subscribed to this thread.","File: cogs\modmail.py/L520"
"{mention} will now be notified of all messages received.","{mention} will now be notified of all messages received.","File: cogs\modmail.py/L527"
"{mention} is not already subscribed to this thread.","{mention} is not already subscribed to this thread.","File: cogs\modmail.py/L559"
"{mention} is now unsubscribed to this thread.","{mention} is now unsubscribed to this thread.","File: cogs\modmail.py/L566"
"Unknown","Unknown","File: cogs\modmail.py/L630"
"Closed By","Closed By","File: cogs\modmail.py/L633"
"Created by","Created by","File: cogs\modmail.py/L636"
"Preview","Preview","File: cogs\modmail.py/L639"
"Link","Link","File: cogs\modmail.py/L644"
"Log Key","Log Key","File: cogs\modmail.py/L647"
"Recipient ID","Recipient ID","File: cogs\modmail.py/L649"
"This user does not have any previous logs.","This user does not have any previous logs.","File: cogs\modmail.py/L680"
"No log entries have been found for that query","No log entries have been found for that query","File: cogs\modmail.py/L717"
"Log entry `{key}` not found.","Log entry `{key}` not found.","File: cogs\modmail.py/L737"
"Log entry `{key}` successfully deleted.","Log entry `{key}` successfully deleted.","File: cogs\modmail.py/L743"
"{mention} has not responded to any threads.","{mention} has not responded to any threads.","File: cogs\modmail.py/L767"
"No log entries have been found for that query.","No log entries have been found for that query.","File: cogs\modmail.py/L800"
"Failed","Failed","File: cogs\modmail.py/L887/L1218"
"Cannot find a message to edit.","Cannot find a message to edit.","File: cogs\modmail.py/L888"
"Cannot start a thread with a bot.","Cannot start a thread with a bot.","File: cogs\modmail.py/L926"
"A thread for this user already exists in {mention}.","A thread for this user already exists in {mention}.","File: cogs\modmail.py/L934"
"Created Thread","Created Thread","File: cogs\modmail.py/L947"
"Thread started by {author_mention} for {user_mention}.","Thread started by {author_mention} for {user_mention}.","File: cogs\modmail.py/L948"
"Blocked Users","Blocked Users","File: cogs\modmail.py/L970/L991"
"No Reason Provided","No Reason Provided","File: cogs\modmail.py/L991"
"(Continued)","(Continued)","File: cogs\modmail.py/L994 cogs\utility.py/L67"
"Currently there are no blocked users.","Currently there are no blocked users.","File: cogs\modmail.py/L1002"
"Success","Success","File: cogs\modmail.py/L1028/L1117/L1124/L1170/L1219/L1241/L1262 cogs\utility.py/L735/L769/L1292/L1354/L1432/L1457/L1638/L1678"
"{mention} is no longer whitelisted.","{mention} is no longer whitelisted.","File: cogs\modmail.py/L1029"
"{mention} was previously blocked internally for ","{mention} was previously blocked internally for ","File: cogs\modmail.py/L1049"
"Cannot block {mention}, user is whitelisted.","Cannot block {mention}, user is whitelisted.","File: cogs\modmail.py/L1093"
"{mention} was previously blocked {old_reason}.\n{mention} is now blocked {reason}","{mention} was previously blocked {old_reason}.\n{mention} is now blocked {reason}","File: cogs\modmail.py/L1118"
"{mention} is now blocked {reason}","{mention} is now blocked {reason}","File: cogs\modmail.py/L1126"
